Generated_Prompt,Original_Question,Original_Answer
"[INST] What would be a nice way to go from {2:3, 1:89, 4:5, 3:0} to {1:89, 2:3, 3:0, 4:5}?
I checked some posts but they all use the ""sorted"" operator that returns tuples. 
 [/INST] You can use the {x:y} operator in python and then use the {|x:y} for the {y:z} operator.
>>> from collections import OrderedDict
>>> def my_tuple(a,b):
...     return OrderedDict.dict(a,b)
...     def my_func(a,b):
...     return OrderedDict({a:b,b:z})
>>> my_func({a:b,b:z})
({a:b,c:y})
>>> my_func = OrderedDict({a:b,b:z})
>>> my_func()
({a:b,c:y})
>>> my_func()
('{a:b,c:y'}', 'a:b', 'c:z')

  >>> my_func({a:b,c:y})
Outer(...)
{a:b, c:y}

  Outer(...)
{a:b, c:y}

  Outer(...)
...
>>> my_func()
Outer(...)

  Outer(..a:b, c:y)
Outer(..a:b, c:z)
Outer(..a:b, c:z): Outer(..a:b, c:y)
>>> Outer(..a:b, c:z)
Outer(..a:b, c:z)
Outer(..a:b, c:z)
Outer(..a:b, c:z)
Outer(..a:b, c:z): Outer(..a:b, c:z)
Outer(..a:b, c:z)
Outer(..a:b, c:z)

In order to make the tuple out of OrderedDict, you","What would be a nice way to go from {2:3, 1:89, 4:5, 3:0} to {1:89, 2:3, 3:0, 4:5}?
I checked some posts but they all use the ""sorted"" operator that returns tuples. 
","Found another way:
import json
print json.dumps(d, sort_keys = True)

upd:
1. this also sorts nested objects (thanks @DanielF).
2. python dictionaries are unordered therefore this is sutable for print or assign to str only.
"
"[INST] I've got a Python program where two variables are set to the value 'public'. In a conditional expression I have the comparison var1 is var2 which fails, but if I change it to var1 == var2 it returns True.
Now if I open my Python interpreter and do the same ""is"" comparison, it succeeds.
>>> s1 = 'public'
>>> s2 = 'public'
>>> s2 is s1
True

What am I missing here?
 [/INST] In Python 3, you can do var = var
>>> var = 'public'
>>> var = 'public'
>>> print var
True

  (In Python 2, you can do var == True or var == False)

  (In Python 1, you can do var == type)

  (In Python 2, you can do var == type)

  (In Python 3, you can do var == type)

  (In Python 2, you can do var == type)

  (In Python 3, you can do var == type)

  (In Python 2, you can do var == type)

  (In Python 3, you can do var == type)

  (In Python 2, you can do var == type)

  (In Python 3, you can do var == type)

  (In Python 2, you can var == type)

  (In Python 3, you can var == type)

  (In Python 2, you can var == type)

  (In Python 1, you can var == type)

  (In Python 2, you can var == type)

  (In Python 2, you can var == type)

  (In Python 3, you can var == type)

  (In Python 2, you can var == type)

  (In Python 3, you can var == type)

  (In Python 2, you can var == type)

  (In Python 3, you can var == type)

  (In Python 2, you can var == type)

  (In Python 2, you can var","I've got a Python program where two variables are set to the value 'public'. In a conditional expression I have the comparison var1 is var2 which fails, but if I change it to var1 == var2 it returns True.
Now if I open my Python interpreter and do the same ""is"" comparison, it succeeds.
>>> s1 = 'public'
>>> s2 = 'public'
>>> s2 is s1
True

What am I missing here?
","I am answering the question even though the question is to old because no answers above quotes the language reference
Actually the is operator checks for identity and == operator checks for equality,
From Language Reference:
Types affect almost all aspects of object behavior. Even the importance of object identity is affected in some sense: for immutable types, operations that compute new values may actually return a reference to any existing object with the same type and value, while for mutable objects this is not allowed. E.g., after a = 1; b = 1, a and b may or may not refer to the same object with the value one, depending on the implementation, but after c = []; d = [], c and d are guaranteed to refer to two different, unique, newly created empty lists. (Note that c = d = [] assigns the same object to both c and d.)
so from above statement we can infer that the strings which is an immutable type may fail when checked with ""is"" and may checked succeed when checked with ""is""
The same applies for int,tuple which are also immutable types
"
"[INST] I have always used tabs for indentation when I do Python programming. But then I came across a question here on SO where someone pointed out that most Python programmers use spaces instead of tabs to minimize editor-to-editor mistakes.
How does that make a difference? Are there other reasons why one would use spaces instead of tabs for Python? Or is it simply not true?
Should I switch my editor to insert spaces instead of tabs right away or keep on going like I used to?
 [/INST] The only difference between how and how you do tab complete for Python tabulation is the way you do the assignment.  If you keep the space bar pressed down (shift+space)) you get a line with space at the beginning and then tabs+space+Tab=0.  If you press space+Tab, you're in ""insert tab"".
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                  # Python tabulation for space+Tab
                    # Python tabulation for space+Tab
                    # Python tabulation for space+Tab
                    # Python space for Python (tab=0, space=1, Tab=2,...)
                    # Python tabulation for space+Tab
                    # Tabulation for space+Tab=0,...
                    # spaces+delims for tabulation, not spaces+delims
                    # (1,2,3,4,5,6,7)
                    # (1,2,3,4,2,5,6,7)

# # Python tabulation for space+Tab=2,3,4,5,6,7
# # # Tab=2,3,4,5,6
# # (3,4,4,5,6,7)
# # (3,4,5,6,7)
# # (1,2,3,4,5,6,7)
# (3,4,5,6,7)
# (1,2,3,4,5,6,7)

 [/INST] spaces+delims for Python is:
(1,2,3,4,5,7)

(1,2,3,4","I have always used tabs for indentation when I do Python programming. But then I came across a question here on SO where someone pointed out that most Python programmers use spaces instead of tabs to minimize editor-to-editor mistakes.
How does that make a difference? Are there other reasons why one would use spaces instead of tabs for Python? Or is it simply not true?
Should I switch my editor to insert spaces instead of tabs right away or keep on going like I used to?
","Tabs rule.  Same argument for nested loops and you want to bring the outer loop ""back"" 1 level.  Tip: If you want to convert old space-riddled python code into tabs use the TabOut utility available as an executable on http://www.textpad.com/add-ons/.
"
"[INST] I need to execute a Python script from the Django shell. I tried
./manage.py shell << my_script.py

But it didn't work. It was just kinda waiting for me to write something.
 [/INST] I had the same problem, so I copied the shell_name from the command line and added it to the.env file. Then I would just run /path/to/your/script.py and it would run the script and then exit.
I also added the -u flag to the command line arguments for the interactive shell command
./manage.py shell << my_env << my_command>

And it worked perfectly.
  shell_cmd <<.shell_cmd my_env but it didn't work

  shell_cmd <<.shell_cmd my_env

 ...

  shell_cmd += shell_cmd

  #.shell_env is set in the settings.py file
  exec my_env

  # shell_env is set in the settings.py shell
  exec my_env

  # shell_env is set in the shell environment

  # execute shell_cmd from the.shell_env file
  # execute shell_cmd from the.shell_name

  shell_env = (shell_env, shell_cmd)

  # execute shell_env from the.shell_name
  shell_cmd = (shell_env, shell_cmd)

#! shell_name is in the shell environment

  shell_env = (shell_name, shell_cmd)

  shell_env = (shell_env, shell_cmd)

  # execute shell_env from the shell_cmd
  # shell_name = shell_name

  # (shell_name, shell_cmd) is set in the shell_name in the shell_file

  # shell_name is set in the shell_name (shell_name)

  shell_env = os.environ

  shell_env = ""shell_name""
  shell_env += ""shell_name="" + shell_env

  shell_env = os.environ
  exec shell_cmd from the shell_name]

  # execute shell","I need to execute a Python script from the Django shell. I tried
./manage.py shell << my_script.py

But it didn't work. It was just kinda waiting for me to write something.
","The << part is wrong, use < instead:
$ ./manage.py shell < myscript.py

You could also do:
$ ./manage.py shell
...
>>> execfile('myscript.py')

"
"[INST] In Python, what commands can I use to find:

the current directory (where I was in the terminal when I ran the Python script), and
where the file I am executing is?

 [/INST] If you run your script from the terminal and then try to execute the first few lines of code, you will get a traceback trace of your script and the terminal information.  The output will be something like:

Traceback (most recent call last):
  File ""<stdin>"", line 1, in?
    x = 0
  File /Users/Username/Desktop/Projects/myproject/__init__.py"", line 2, in?
  File ""/Users/Username/Desktop/Projects/__init__.py"", line 2, in?
  Traceback (/desktop/Projects/__init__.py"", line 2, in?
    traceback ().__init__()) 

Note that the traceback module is very useful for debugging purposes, and it is documented in the Python traceback module documentation.
  Traceback (most recent call last):
  File ""/Users/Username/Desktop/Projects/__init__.py"", line 2, in?
    print(x)
  File ""/Users/Username/Desktop/Projects/__init__.py"", line 2, in?
    print(x)

  File ""/Users/Username/Desktop/Projects/__init__.py"", line 2, in?
    print(x)
  File ""/Users/Username/Desktop/Projects/__init__.py"", line 2, in?
    Traceback (most recent call last):
  File ""/Users/Username/Desktop/Projects/__init__.py"", line 27, in?
  File ""/Desktop/Projects/__init__.py"", line 27, in?
  File ""/Users/Username/Desktop/Projects/__init__.py"", line 2, in?
    print(""Your code is not in what you wanted"")
  File ""/Users/Username/Desktop/Projects/__init__.py"", line 27, in?
    print(""Your code is not where you wanted"")","In Python, what commands can I use to find:

the current directory (where I was in the terminal when I ran the Python script), and
where the file I am executing is?

","If you're using Python 3.4, there is the brand new higher-level pathlib module which allows you to conveniently call pathlib.Path.cwd() to get a Path object representing your current working directory, along with many other new features.
More info on this new API can be found here.
Note: The pathlib module API is currently a provisional API, which means there is no guarantee of backward compatibility. More on provisional APIs can be found here
"
"[INST] Is there a way to get all attributes/methods/fields/etc. of an object in Python?
vars() is close to what I want, but it doesn't work unless an object has a __dict__, which isn't always true (e.g. it's not true for a list, a dict, etc.).
 [/INST] In Python 3, there is an attribute __all__ which lets you access all attributes (not just methods, fields, etc.) defined in the class definition. This is particularly useful when you want to subclass a type:
class MyClass(object):
    def __get__(self):
        print(""not implemented in this class"" % self.attr)

    def __set__(self, value):
        print(""not defined in this class"" % self.attr)

Note that this is not a general-purpose pattern because __get__ is not a good solution for this kind of thing.  (I also expect to eventually have __set__ and __get__ special methods, but that's a bit tricky.)
  Note that __get__ is only applicable if __all__ is not in the parent class (i.e. not in the __init__ method).

Note that __getattr__ is also called __getattr__ in __new__ (see PEP-329).
  Note that __getattr__ is only applicable if the attribute is not defined in the parent class (i.e. not in the __new__ part).
  Note that __getattr__ is also called __getattr__ in __new__ (see PEP-329).

 [/INST] This is a complete, but incomplete/not-standard (PEP-329) definition for a class:
class MyClass(object):
    def __get__(self):
        self.attr = vars.__get__(self, a, b)
       ...

    def __set__(self, a, b):
        self.attr = a, b
       ...

__get__(self, a, b) returns a list of all attributes/methods not present in self.b (i.e. a, b in this case)
def __set__(self, a, b):
    self.","Is there a way to get all attributes/methods/fields/etc. of an object in Python?
vars() is close to what I want, but it doesn't work unless an object has a __dict__, which isn't always true (e.g. it's not true for a list, a dict, etc.).
","What you probably want is dir().
The catch is that classes are able to override the special __dir__ method, which causes dir() to return whatever the class wants (though they are encouraged to return an accurate list, this is not enforced). Furthermore, some objects may implement dynamic attributes by overriding __getattr__, may be RPC proxy objects, or may be instances of C-extension classes. If your object is one these examples, they may not have a __dict__ or be able to provide a comprehensive list of attributes via __dir__: many of these objects may have so many dynamic attrs it doesn't won't actually know what it has until you try to access it. 
In the short run, if dir() isn't sufficient, you could write a function which traverses __dict__ for an object, then __dict__ for all the classes in obj.__class__.__mro__; though this will only work for normal python objects. In the long run, you may have to use duck typing + assumptions - if it looks like a duck, cross your fingers, and hope it has .feathers.
"
"[INST] What does the if __name__ == ""__main__"": do?
# Threading example
import time, thread

def myfunction(string, sleeptime, lock, *args):
    while 1:
        lock.acquire()
        time.sleep(sleeptime)
        lock.release()
        time.sleep(sleeptime)
if __name__ == ""__main__"":
    lock = thread.allocate_lock()
    thread.start_new_thread(myfunction, (""Thread #: 1"", 2, lock))
    thread.start_new_thread(myfunction, (""Thread #: 2"", 2, lock))

 [/INST]artharthartharthdorfarthdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfowoarthdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfowoowoowodorfненowodorfdorfshadorfarthdorfdorfarthdorfshaetidorfshadorfdorfdorfdorfdorfdorfdorfdorfetidorfdorfdorfdorfdorfdorfdorfdorfdorfdorfarthdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfowoowoowoowoowoowoarthdorfshadorfdorfdorfdorfshashadorfdorfdorfdorfdorfdorfdorfdorfdorfarthdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfpecpecpecненarthiomiomiomdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfowoowoowodorfshapecdorfowoowodorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfiomdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfненdorfdorfdorfненdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfowoowodorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfненненdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorfdorf","What does the if __name__ == ""__main__"": do?
# Threading example
import time, thread

def myfunction(string, sleeptime, lock, *args):
    while 1:
        lock.acquire()
        time.sleep(sleeptime)
        lock.release()
        time.sleep(sleeptime)
if __name__ == ""__main__"":
    lock = thread.allocate_lock()
    thread.start_new_thread(myfunction, (""Thread #: 1"", 2, lock))
    thread.start_new_thread(myfunction, (""Thread #: 2"", 2, lock))

","
What does if __name__ == â__main__â: do?

__name__ is a global variable (in Python, global actually means on the module level) that exists in all namespaces. It is typically the module's name (as a str type).
As the only special case, however, in whatever Python process you run, as in mycode.py:
python mycode.py

the otherwise anonymous global namespace is assigned the value of '__main__' to its __name__. 
Thus, including the final lines
if __name__ == '__main__':
    main()


at the end of your mycode.py script,
when it is the primary, entry-point module that is run by a Python process, 

will cause your script's uniquely defined main function to run. 
Another benefit of using this construct: you can also import your code as a module in another script and then run the main function if and when your program decides:
import mycode
# ... any amount of other code
mycode.main()

"
"[INST] Why are there no ++ and -- operators in Python?
 [/INST] In Python 3, if you want to do a join, you have to use the + character (plus sign) to combine two lists:
a + b

b + c

c + b

Example:
a = [1, 2, 3]
b = [4, 5, 6]
c = +a + b

a + b
a + b

  +a + b

  # join list
a + b

  a + b

  # join two lists
a + c

  # join two lists
a + b

  # join two lists
a + b

  # join two list
a + b

  # join two list in Python
a + b

  # join two lists
a + c

  # join two lists
a + b

# join two lists
a + b

  # join two lists
a + b

  # join two lists
a + b

  # join two lists
a + b

 [/INST] The + operator is used to join two lists. It is used to concatenate two lists into a single list.
a + b + c
b + c

  # join two lists
a + b + c

  # join two lists into one list:
a + c

  # join two lists into one list
a + c

  # join two lists into one list:
a + b

  # join two lists into one list:
a + b

  # join two lists into one list:
a + b

  # join two lists into one list:
a + b

  # join two lists into two list
a + b + c

  # join two lists into one list:
a + b

  # join three list into one list:
a + b + c

  # join two lists into one list:
a + b + c

  # join two lists into one list:
a + b + c

  # join two lists into one list:
a + b + c

  # join two lists into","Why are there no ++ and -- operators in Python?
","Clarity!
Python is a lot about clarity and no programmer is likely to correctly guess the meaning of --a unless s/he's learned a language having that construct.
Python is also a lot about avoiding constructs that invite mistakes and the ++ operators are known to be rich sources of defects.
These two reasons are enough not to have those operators in Python.
The decision that Python uses indentation to mark blocks rather
than syntactical means such as some form of begin/end bracketing 
or mandatory end marking is based largely on the same considerations.
For illustration, have a look at the discussion around introducing a conditional operator (in C: cond ? resultif : resultelse) into Python in 2005.
Read at least the first message and the decision message of that discussion (which had several precursors on the same topic previously).
Trivia:
The PEP frequently mentioned therein is the ""Python Extension Proposal"" PEP 308. LC means list comprehension, GE means generator expression (and don't worry if those confuse you, they are none of the few complicated spots of Python).
"
"[INST] I want to detect whether module has changed. Now, using inotify is simple, you just need to know the directory you want to get notifications from.
How do I retrieve a module's path in python?
 [/INST] import sys
sys.path.append(sys.getloader()) # relative to current dir

  # absolute path, relative to current dir
  sys.path.append(sys.getdir()) # relative to current dir
  # absolute path, relative to parent directory

sys.getfilerename(sys.argv[0]) # absolute path
sys.getabsolutepath(sys.argv[0]) # absolute path

  # relative to parent dir
    from sys import exit_static
    from inspect import call
    call(""from __file__"") # relative to current dir
    from inspect import * # new style relative to current dir

For RPy 2.7.1 and RPy 3.0.1
For RPy 2.6.2 and 0.7.0 # new style
For RPy 2.6.1 and 0.8.1 # new style
For RPy 2.6.1 and 0.8.0 # new style
For RPy 2.6.1 and 0.6.1 (from __file__ and 0.6.0)
from inspect import getloader
from inspect import call  # new style
from inspect import * # new style

  # new style
  from inspect import * # new style
  # new style
  # new property

For RPy __getdir__ and RPy __absolve__, see the docs for RPy.
  # new style
  @caller
 def __get_dir__(self):
    from inspect import getloader
    from inspect import * # new style
    self.getloader() # new style
    # new style
    for name in sys.getargv():
      # new style

@new-style-end(self) # new style
def getdir__():
  # new style
  # new style
  from inspect import getloader
  from inspect import * # new style
  # new style

For RPy __","I want to detect whether module has changed. Now, using inotify is simple, you just need to know the directory you want to get notifications from.
How do I retrieve a module's path in python?
","I will try tackling a few variations on this question as well:

finding the path of the called script  
finding the path of the currently executing script  
finding the directory of the called script

(Some of these questions have been asked on SO, but have been closed as duplicates and redirected here.)
Caveats of Using __file__
For a module that you have imported:
import something
something.__file__ 

will return the absolute path of the module.  However, given the folowing script foo.py:
#foo.py
print '__file__', __file__

Calling it with 'python foo.py' Will return simply 'foo.py'.  If you add a shebang:
#!/usr/bin/python 
#foo.py
print '__file__', __file__

and call it using ./foo.py, it will return './foo.py'.  Calling it from a different directory, (eg put foo.py in directory bar), then calling either
python bar/foo.py

or adding a shebang and executing the file directly:
bar/foo.py

will return 'bar/foo.py' (the relative path).
Finding the directory
Now going from there to get the directory, os.path.dirname(__file__) can also be tricky.  At least on my system, it returns an empty string if you call it from the same directory as the file.  ex.
# foo.py
import os
print '__file__ is:', __file__
print 'os.path.dirname(__file__) is:', os.path.dirname(__file__)

will output:
__file__ is: foo.py
os.path.dirname(__file__) is: 

In other words, it returns an empty string, so this does not seem reliable if you want to use it for the current file (as opposed to the file of an imported module).  To get around this, you can wrap it in a call to abspath:
# foo.py
import os
print 'os.path.abspath(__file__) is:', os.path.abspath(__file__)
print 'os.path.dirname(os.path.abspath(__file__)) is:', os.path.dirname(os.path.abspath(__file__))

which outputs something like:
os.path.abspath(__file__) is: /home/user/bar/foo.py
os.path.dirname(os.path.abspath(__file__)) is: /home/user/bar

Note that abspath() does NOT resolve symlinks.  If you want to do this, use realpath() instead.  For example, making a symlink file_import_testing_link pointing to file_import_testing.py, with the following content:
import os
print 'abspath(__file__)',os.path.abspath(__file__)
print 'realpath(__file__)',os.path.realpath(__file__)

executing will print absolute paths something like:
abspath(__file__) /home/user/file_test_link
realpath(__file__) /home/user/file_test.py

file_import_testing_link -> file_import_testing.py
Using inspect
@SummerBreeze mentions using the inspect module.
This seems to work well, and is quite concise, for imported modules:
import os
import inspect
print 'inspect.getfile(os) is:', inspect.getfile(os)

obediently returns the absolute path.  However for finding the path of the currently executing script, I did not see a way to use it.
"
"[INST] I'm using the Python bindings to run Selenium WebDriver.
from selenium import webdriver
wd = webdriver.Firefox()

I know I can grab a webelement like so...
elem = wd.find_element_by_css_selector('#my-id')

And I know I can get the full page source with...
wd.page_source

But is there anyway to get the ""element source""?
elem.source   # <-- returns the HTML as a string

The selenium webdriver docs for Python are basically non-existent and I don't see anything in the code that seems to enable that functionality.
Any thoughts on the best way to access the HTML of an element (and its children)?
 [/INST] I've found that wd.page_source() is not always correct. For example, for example, if I have a <div> and I want to get the text content, I want the text that I want to read.
I found this solution somewhere on the Google github github.page_source_viewer - but I'm not sure if that is correct and I haven't found where in the documentation.
 
@wds.page_source
@wd.page_source

@wd.page_source is actually the source of the HTML, so if you have a way of finding the element out, this seems to be a good place to start.
@wd.page_source is actually the element that you'd normally expect, but I don't know why selenium finds #my_element, and it may get confused if there is one or more elements in the page.
@wd.source is the source of the element, but I don't know what it is out (I think that's what @wd.source). I know it's not always 100% accurate, but I think there's a better way to do this, just curling around the edge
@wd.all_elements_selected_by_css_selector()

 
@wd.all_elements_selected_by_css_selector()

@wd.find_element_by_id_out_of_type('element')
@wd.find","I'm using the Python bindings to run Selenium WebDriver.
from selenium import webdriver
wd = webdriver.Firefox()

I know I can grab a webelement like so...
elem = wd.find_element_by_css_selector('#my-id')

And I know I can get the full page source with...
wd.page_source

But is there anyway to get the ""element source""?
elem.source   # <-- returns the HTML as a string

The selenium webdriver docs for Python are basically non-existent and I don't see anything in the code that seems to enable that functionality.
Any thoughts on the best way to access the HTML of an element (and its children)?
","You can read innerHTML attribute to get source of the content of the element or outerHTML for source with the current element.
Python:
element.get_attribute('innerHTML')

Java:
elem.getAttribute(""innerHTML"");

C#:
element.GetAttribute(""innerHTML"");

Ruby:
element.attribute(""innerHTML"")

Tested and works with the ChromeDriver.
"
"[INST] Yes, I know this subject has been covered before (here, here, here, here), but as far as I know, all solutions, except for one, fail on a list like this:
L = [[[1, 2, 3], [4, 5]], 6]

Where the desired output is
[1, 2, 3, 4, 5, 6]

Or perhaps even better, an iterator. The only solution I saw that works for an arbitrary nesting is found in this question:
def flatten(x):
    result = []
    for el in x:
        if hasattr(el, ""__iter__"") and not isinstance(el, basestring):
            result.extend(flatten(el))
        else:
            result.append(el)
    return result

flatten(L)

Is this the best model? Did I overlook something? Any problems?
 [/INST] The other answers about list comprehensions are fine, but they suffer from the following issue:
[1, 5, 6]
[1, 5, 6, 7]

The problem with this is that the result is not always a list. It's a sequence of tuples. If you do:
[1, 5, 6, 7]

you get:
[1, 5, 7, 8, 9]

However, you can do the same thing with a list comprehension:
[1, 5, 6]

And in this case, you want
[1, 5, 6, [1, 2, 3, 7]]

as in this example:
[1, 5, 6, 4, 1]


Here is the corresponding Python code:
[1, 5, 6, [1, 5, 6]]

The reason is that the list comprehensions, as in any other way, ""map"" ([1, 5, 6]) is expected to perform an operation on an list. By convention, the parameters of a function are the same as the variables in the function, i.e. one will have to use a tuple (if the","Yes, I know this subject has been covered before (here, here, here, here), but as far as I know, all solutions, except for one, fail on a list like this:
L = [[[1, 2, 3], [4, 5]], 6]

Where the desired output is
[1, 2, 3, 4, 5, 6]

Or perhaps even better, an iterator. The only solution I saw that works for an arbitrary nesting is found in this question:
def flatten(x):
    result = []
    for el in x:
        if hasattr(el, ""__iter__"") and not isinstance(el, basestring):
            result.extend(flatten(el))
        else:
            result.append(el)
    return result

flatten(L)

Is this the best model? Did I overlook something? Any problems?
","def flatten(xs):
    res = []
    def loop(ys):
        for i in ys:
            if isinstance(i, list):
                loop(i)
            else:
                res.append(i)
    loop(xs)
    return res

"
"[INST] I'm having problems dealing with unicode characters from text fetched from different web pages (on different sites). I am using BeautifulSoup. 
The problem is that the error is not always reproducible; it sometimes works with some pages, and sometimes, it barfs by throwing a UnicodeEncodeError. I have tried just about everything I can think of, and yet I have not found anything that works consistently without throwing some kind of Unicode-related error.
One of the sections of code that is causing problems is shown below:
agent_telno = agent.find('div', 'agent_contact_number')
agent_telno = '' if agent_telno is None else agent_telno.contents[0]
p.agent_info = str(agent_contact + ' ' + agent_telno).strip()

Here is a stack trace produced on SOME strings when the snippet above is run:
Traceback (most recent call last):
  File ""foobar.py"", line 792, in <module>
    p.agent_info = str(agent_contact + ' ' + agent_telno).strip()
UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128)

I suspect that this is because some pages (or more specifically, pages from some of the sites) may be encoded, whilst others may be unencoded. All the sites are based in the UK and provide data meant for UK consumption - so there are no issues relating to internalization or dealing with text written in anything other than English.
Does anyone have any ideas as to how to solve this so that I can CONSISTENTLY fix this problem?
 [/INST] I've had this issue on two different agents, and I have found a few ways to work around it:

1. Use the `unicode' builtin
2. Use the builtin str() function

2. Use the str() and the unicode() calls, and make sure that the two values are indeed ""unicode""

agent_info = u'\xa0'
bar = u'\xd0'

try:
    x = '\xa","I'm having problems dealing with unicode characters from text fetched from different web pages (on different sites). I am using BeautifulSoup. 
The problem is that the error is not always reproducible; it sometimes works with some pages, and sometimes, it barfs by throwing a UnicodeEncodeError. I have tried just about everything I can think of, and yet I have not found anything that works consistently without throwing some kind of Unicode-related error.
One of the sections of code that is causing problems is shown below:
agent_telno = agent.find('div', 'agent_contact_number')
agent_telno = '' if agent_telno is None else agent_telno.contents[0]
p.agent_info = str(agent_contact + ' ' + agent_telno).strip()

Here is a stack trace produced on SOME strings when the snippet above is run:
Traceback (most recent call last):
  File ""foobar.py"", line 792, in <module>
    p.agent_info = str(agent_contact + ' ' + agent_telno).strip()
UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128)

I suspect that this is because some pages (or more specifically, pages from some of the sites) may be encoded, whilst others may be unencoded. All the sites are based in the UK and provide data meant for UK consumption - so there are no issues relating to internalization or dealing with text written in anything other than English.
Does anyone have any ideas as to how to solve this so that I can CONSISTENTLY fix this problem?
","I've actually found that in most of my cases, just stripping out those characters is much simpler:
s = mystring.decode('ascii', 'ignore')

"
"[INST] The following use of super() raises a TypeError: why?
>>> from  HTMLParser import HTMLParser
>>> class TextParser(HTMLParser):
...     def __init__(self):
...         super(TextParser, self).__init__()
...         self.all_data = []
...         
>>> TextParser()
(...)
TypeError: must be type, not classobj

There is a similar question on StackOverflow: python super() raises TypeError ! Why?, where the error is explained by the fact that the user class is not a new-style class.  However, the class above is a new-style class, as it inherits from object:
>>> isinstance(HTMLParser(), object)
True

What am I missing? How can I use super(), here?
Using HTMLParser.__init__(self) instead of super(TextParser, self).__init__() would work, but I would like to understand the TypeError.
PS: Joachim pointed out that being a new-style-class instance is not equivalent to being an object. I read the opposite many times, hence my confusion (example of new-style class instance test based on object instance test: http://stackoverflow.com/revisions/2655651/3).
 [/INST] I've had similar issues in the past, and have seen this type error on at least two occasions (both involving a poorly designed type-checking mechanism, and an unrelated object) and I have not yet seen how to fix it.  If someone can help me with a solution, please let me know.  (I understand that this question is not for the type-checking, but for general knowledge, I also understand that this is a type-error.)
>>> class MyTextParser(object):
...     def __init__(self):
...         self.all_data = []
...        
>>> MyTextParser(self).all_data)
TypeError: must be type, not class

The reason is that myTextParser is not a class and has the TypeError raised by the TypeError. I don't fully understand why this is an issue, but I do know that myTextParser is a list/dict and not classobj, so that is where my problem lies.  I","The following use of super() raises a TypeError: why?
>>> from  HTMLParser import HTMLParser
>>> class TextParser(HTMLParser):
...     def __init__(self):
...         super(TextParser, self).__init__()
...         self.all_data = []
...         
>>> TextParser()
(...)
TypeError: must be type, not classobj

There is a similar question on StackOverflow: python super() raises TypeError ! Why?, where the error is explained by the fact that the user class is not a new-style class.  However, the class above is a new-style class, as it inherits from object:
>>> isinstance(HTMLParser(), object)
True

What am I missing? How can I use super(), here?
Using HTMLParser.__init__(self) instead of super(TextParser, self).__init__() would work, but I would like to understand the TypeError.
PS: Joachim pointed out that being a new-style-class instance is not equivalent to being an object. I read the opposite many times, hence my confusion (example of new-style class instance test based on object instance test: http://stackoverflow.com/revisions/2655651/3).
","If you look at the inheritance tree (in version 2.6), HTMLParser inherits from SGMLParser which inherits from ParserBase which doesn't inherits from object. I.e. HTMLParser is an old-style class.
About your checking with isinstance, I did a quick test in ipython:

In [1]: class A:
   ...:     pass
   ...: 

In [2]: isinstance(A, object)
Out[2]: True

Even if a class is old-style class, it's still an instance of object.
"
